Spring 2017,ENGL 150 C,Lit analysis:  Literature of Disease,James Hala,MW 09:00 AM-10:15 AM BC18,Treehouse Course Information,humanities,

Spring 2017,ENGL 150 H,Lit analysis:  Mysteries:: Heroes:: and Villains,Patrick Phillips,TR 11:50 AM-01:05 PM SIT101,Treehouse Course Information,humanities,

Spring 2017,ENGL 201 K,Sex and Death in 20th-Century Drama,Neil Levi,TR 01:15 PM-02:30 PM BC204,Treehouse Course Information,humanities,

Spring 2017,ESS 281 E,Topics in Environmental Humanities: US Food Cultures,Mary Kirby-Calder,MW 10:25 AM-11:40 AM BC217,Treehouse Course Information,humanities,

Spring 2017,FREN 304 G,Contemporary French Cinema,Muriel Placet-Kouassi,MW 11:50 AM-01:05 PM TIL101,Treehouse Course Information,humanities,

Spring 2017,FREN 364 T,Staging the Self and the Other,Deborah Hess,MW 02:40 PM-03:55 PM BC202,Treehouse Course Information,humanities,

Spring 2017,FREN 368 E,Selected Topics in French: France and its Ghosts: History:: Memory and Monuments,Sophia Khadraoui,MW 10:25 AM-11:40 AM BC13A,Treehouse Course Information,humanities,

Spring 2017,FREN 368 X,Selected Topics in French: France and its Ghosts - History:: Memory and Monuments,Sophia Khadraoui,-,Treehouse Course Information,humanities,

Spring 2017,HIST 102 F,U.S. History Since 1877,James Carter,TR 10:25 AM-11:40 AM BC201,Treehouse Course Information,humanities,

Spring 2017,HIST 105 G,Modern Europe,Caoimhin De Barra,MW 11:50 AM-01:05 PM HSCS4,Treehouse Course Information,humanities,

Spring 2017,HIST 201 E,Selected Topics in History: US Food Cultures,Mary Kirby-Calder,MW 10:25 AM-11:40 AM BC217,Treehouse Course Information,humanities,

Spring 2017,HIST 214 Z,Monsters and Gangsters,Clifford Evans,TR 02:40 PM-03:55 PM HSCS244,Treehouse Course Information,humanities,

Spring 2017,HIST 241 K,History of the Jews from Antiquity to the 18th Century,Allan Nadler,TR 01:15 PM-02:30 PM BC120,Treehouse Course Information,humanities,

